Hook Type,Hook Name,Priority,Callback Method,Purpose,Class,File Path,Line Number,Parameters,Return Type
WordPress Action,add_attachment,10,generate_suggestion_for_new_upload,Auto-generate filename suggestion on new upload,MSH_Contextual_Meta_Generator,includes/class-msh-image-optimizer.php,5658,"int $attachment_id",void
WordPress Action,init,10,prime_season_cache,Initialize season detection cache for performance,MSH_Contextual_Meta_Generator,includes/class-msh-image-optimizer.php,5653,none,void
WordPress Action,shutdown,10,log_cache_stats,Log season cache hit/miss statistics,MSH_Contextual_Meta_Generator,includes/class-msh-image-optimizer.php,215,none,void
Custom Action,msh_regenerate_filename_suggestions,10,regenerate_all_filename_suggestions,Cron event to batch regenerate filename suggestions,MSH_Contextual_Meta_Generator,includes/class-msh-image-optimizer.php,5661,none,void
WordPress Filter,attachment_fields_to_edit,10,add_context_attachment_field,Add Category dropdown to Media Library edit screen,MSH_Contextual_Meta_Generator,includes/class-msh-image-optimizer.php,5664,"array $form_fields, WP_Post $post",array
WordPress Filter,attachment_fields_to_save,10,save_context_attachment_field,Save Category selection from Media Library,MSH_Contextual_Meta_Generator,includes/class-msh-image-optimizer.php,5665,"array $post, array $attachment",array
AJAX,wp_ajax_msh_analyze_images,N/A,ajax_analyze_images,Scan all images and generate metadata preview,MSH_Contextual_Meta_Generator,includes/class-msh-image-optimizer.php,7558,none,JSON response
AJAX,wp_ajax_msh_optimize_batch,N/A,ajax_optimize_batch,Apply metadata to batch of images,MSH_Contextual_Meta_Generator,includes/class-msh-image-optimizer.php,7753,none,JSON response
AJAX,wp_ajax_msh_get_progress,N/A,ajax_get_progress,Get optimization progress status,MSH_Contextual_Meta_Generator,includes/class-msh-image-optimizer.php,8450,none,JSON response
AJAX,wp_ajax_msh_reset_optimization,N/A,ajax_reset_optimization,Clear optimization state and start fresh,MSH_Contextual_Meta_Generator,includes/class-msh-image-optimizer.php,8499,none,JSON response
AJAX,wp_ajax_msh_apply_filename_suggestions,N/A,ajax_apply_filename_suggestions,Batch apply filename suggestions with safe rename,MSH_Contextual_Meta_Generator,includes/class-msh-image-optimizer.php,8531,none,JSON response
AJAX,wp_ajax_msh_save_filename_suggestion,N/A,ajax_save_filename_suggestion,Save single filename suggestion to post meta,MSH_Contextual_Meta_Generator,includes/class-msh-image-optimizer.php,8910,none,JSON response
AJAX,wp_ajax_msh_remove_filename_suggestion,N/A,ajax_remove_filename_suggestion,Remove/reject filename suggestion,MSH_Contextual_Meta_Generator,includes/class-msh-image-optimizer.php,8965,none,JSON response
AJAX,wp_ajax_msh_accept_filename_suggestion,N/A,ajax_accept_filename_suggestion,Accept and apply filename with safe rename system,MSH_Contextual_Meta_Generator,includes/class-msh-image-optimizer.php,9618,none,JSON response
AJAX,wp_ajax_msh_toggle_file_rename,N/A,ajax_toggle_file_rename,Enable/disable filename suggestion feature,MSH_Contextual_Meta_Generator,includes/class-msh-image-optimizer.php,9554,none,JSON response
AJAX,wp_ajax_msh_toggle_ai_mode,N/A,ajax_toggle_ai_mode,Enable/disable AI metadata generation,MSH_Contextual_Meta_Generator,includes/class-msh-image-optimizer.php,9588,none,JSON response
